uri_path	country	hits
/mediawiki/1.18/mediawiki-1.18.1.tar.gz	France	13
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	Australia	13
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Italy	13
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Japan	13
/mediawiki/1.25/mediawiki-core-1.25.0.tar.gz	United States	12
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	Germany	12
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	Netherlands	12
/mediawiki/1.17/mediawiki-1.17.0.tar.gz	China	12
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Cuba	12
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	Malaysia	12
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Iraq	12
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Vietnam	12
/mediawiki/1.22/mediawiki-1.22.15.patch.gz	United States	12
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Sudan	11
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Republic of Korea	11
/mediawiki/1.23/mediawiki-1.23.2.tar.gz	United States	11
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	China	11
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Japan	11
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Chile	11
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Spain	11
/mediawiki/1.17/mediawiki-1.17.0rc1.tar.gz	United States	11
/mediawiki/1.22/mediawiki-1.22.6.tar.gz	United States	11
/mediawiki/1.16/mediawiki-1.16.2.tar.gz	United States	11
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Morocco	11
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Egypt	10
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Angola	10
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Sri Lanka	10
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	France	10
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Bulgaria	10
/mediawiki/1.21/mediawiki-1.21.2.tar.gz	United States	10
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Austria	10
/mediawiki/1.24/mediawiki-1.24.0.tar.gz	United States	10
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Slovak Republic	10
/mediawiki/1.23/mediawiki-1.23.5.tar.gz	United States	10
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Belarus	10
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Taiwan	10
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Costa Rica	10
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Sudan	9
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Austria	9
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Sri Lanka	9
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Belarus	9
/mediawiki/1.24/mediawiki-1.24.2.patch.gz	Unknown	9
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Saudi Arabia	9
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Vietnam	9
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Poland	9
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Yemen	9
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	China	9
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Germany	9
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Algeria	9
/mediawiki/1.17/mediawiki-1.17.0.tar.gz	Germany	9
